DAKODA variable;Kurzname;Erläuterung (deu);description (eng);value definition;Kommentar zum Wertebereich;details about the values (eng);default if missing information;repeatable;LC-meta variable;Description ;Condition;Fixed attributes;Further details and examples;Obligatory or not;Repeatable;version of LC-meta;DAKODA different to LC-meta?;why?;note;DAKODA value -> LC-meta  value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotator_L2;;L2 der/des Annotator/-in;"Annotator L2
";ISO 639-3;;;notAvailable;yes;annotator_L2;"Annotator L2
";;[ISO language code 639-3];;optional;yes;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotator_note;;Anmerkungen zum/zur Annotator/-in;Any comments regarding the annotator;string;;;notAvailable;yes;annotator_note;Any comments regarding the annotator;;;This could include more details about their mutlingual profile;optional;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotator_targetLanguageCompetence;;Zielsprachenkompetenz des Annotators/der Annotatorin;"Annotator target language competence
";string;;;notAvailable;yes;annotator_target_language_competence;"Annotator target language competence
";;A1, A2, B1, B2, C1, C2;;optional;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
annotator_type;;Erfahrung des Annotators/der Annotatorin;"Annotator experience
";string;;;notAvailable;yes;annotator_type;"Annotator experience
";;;e.g. expert, trained, student, teacher, crowdsourcing…;obligatory;no;2, 2024-05-31;same;resources;only for DAKODA annotations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_acronym;Akronym;Akronym oder Kurztitel des Korpus ;Corpus acronym;string;;;notAvailable;no;corpus_acronym;Corpus acronym;;;ICLE;optional;no;2, 2024-05-31;same;#;relates to original version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_author;Herausgeber/-in;Verantwortliche/-r des Korpus (Original-Version);Corpus creator;"string (Nachname, Vorname; Nachname, Vorname)";;;notAvailable;yes;corpus_author;Corpus creator;;;Max Musterman;obligatory;yes;2, 2024-05-31;same;#;relates to original version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_availability;Zugriff;Zugang und Lizenz;Licensing terms and conditions;open, restricted, special restrictions, closed;;;No missing values permitted.;no;corpus_availability;Licensing terms and conditions;;open, restricted, closed;;obligatory;no;2, 2024-05-31;values added;#;"restricted' normally means that only associates to universities have access to the data, besides we have some special cases; relates to DAKODA version (not explicit)";"""special restrictions"" -> restricted";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_citationDocument;Referenz auf Textbelege;Notiz, wie Textbelege referenziert werden sollen;Note on how excerpts of the corpus should be referenced;string;;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_citeAs;Zitation des Korpus;Zitation des Korpus;Corpus citation;string;;;notAvailable;no;corpus_cite_as;Corpus citation;;;How to cite this corpus: Author(s) or Responsible(s) (Year). Title of the data set (Version number): Distributor, Identifier or Location. This is typically generated by the data repository.;obligatory;no;2, 2024-05-31;same;#;relates to original version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_contactMail;Emailadresse der/des Korpusherausgeber/-in;Emailadresse der/des Korpusverantwortlichen (Original-Version);Contact e-mail address;string (mit @);;;notAvailable;yes;corpus_contact_mail;Contact e-mail address;;;porta@eurac.edu;obligatory;yes;2, 2024-05-31;same;#;relates to original version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_contributor_dkd;Mitwirkende (DAKODA-Version);Mitwirkende (DAKODA-Version);Contributor (DAKODA version);Jamila Bläsing, Luise Böttcher, Shanny Druker, Lisa Lenort, Annette Portmann, Christine Renker, Josef Ruppenhofer, Matthias Schwendemann, Iulia Sucutardean, Katrin Wisniewski, Torsten Zesch;;;notAvailable;always the same value;corpus_contributor;Corpus contributor;;;(Jane Doe, transcription of english texts);optional;yes;2, 2024-05-31;dkd;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_contributor_orig;Mitwirkende (Original-Version);Mitwirkende (Original-Version);Contributor (original version);string;;;notAvailable;yes;corpus_contributor;Corpus contributor;;;(Jane Doe, transcription of english texts);optional;yes;2, 2024-05-31;orig;original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_dateOfPublication_orig;Veröffentlichungsdatum;Veröffentlichungsdatum der verwendeten Korpusversion;Publication date of the corpus version used;date;;;notAvailable;no;corpus_date_of_publication;Date of publication;;;e.g. YYYY, YYYY-MM or YYYY-MM-DD;obligatory;no;2, 2024-05-31;orig;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_documentation;Korpushandbuch;Transkriptions- und Annotationsrichtlinien;Link to more extensive corpus documentation;string;;;notAvailable;yes;corpus_documentation;Link to more extensive corpus documentation;;;https://www.porta.eurac.edu/lci/leonide/;optional;yes;2, 2024-05-31;same;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_fileFormat;Dateiformate;Dateiformate (DAKODA-Version);File format (DAKODA-Version);string;;;notAvailable;yes;corpus_file_format;File format;;;txt, csv, tiff, xml, JSON...;obligatory;yes;2, 2024-05-31;same;#;relates to DAKODA version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_licence;Lizenz;Lizenz des Korpus (DAKODA-Version);Licence name (DAKODA version);string;;;notAvailable;no;corpus_licence;Licence name;;;ACA-BY-NC-NORED;obligatory;no;2, 2024-05-31;same;#;relates to DAKODA version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_licenceFulltext;Lizenztext ;Lizenztext (DAKODA-Version);Licence text (DAKODA version);string;;;notAvailable;no;;;;;;;;;added;more precise;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_licenceUrl;Link zu Lizenztext ;Link zu Lizenztext (DAKODA-Version);Link to licence text;string;;;notAvailable;no;corpus_licence_url;Link to licence text;;;http://creativecommons.org/licenses/by-sa/4.0/;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_name;Korpustitel ;Titel des Korpus ausgeschrieben;Full name of the corpus;string;;;No missing values permitted.;no;corpus_name;Full name of the corpus;;;International Corpus of Learner English, with multiple entries for different names in different languages;obligatory;yes;2, 2024-05-31;same;#;relates to original version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_otherVersions;andere Korpusversionen;Link zu anderen Versionen des Korpus;Associated version;string;;;notAvailable;yes;corpus_other_versions;Associated version;;;(1.0, link to version);optional;yes;2, 2024-05-31;same;#;relates to original version (not explicit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_pid_dkd;PID (DAKODA-Version);Persistent Identifier (DAKODA-Version);Persistent identifier (DAKODA version);string;;;notAvailable;no;corpus_pid;Persistent identifier;;;A persistent identifier is typically a DOI or a handle, e.g. http://hdl.handle.net/20.500.12124/25;obligatory;no;2, 2024-05-31;dkd;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_pid_orig;PID (Original-Version);Persistent Identifier (Original-Version);Persistent Identifier (original version);string;;;notAvailable;no;corpus_pid;Persistent identifier;;;A persistent identifier is typically a DOI or a handle, e.g. http://hdl.handle.net/20.500.12124/25;obligatory;no;2, 2024-05-31;orig;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_refArticle;Referenzartikel;Referenzartikel zum Korpus;Reference article;string;;;notAvailable;yes;corpus_ref_article;Reference article;;;Reference articles typically contain an extensive verbal description of the corpus and its design.;optional;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_referencesOther;weitere Links;weitere wichtige Referenz oder Link;Further important publications or links to the corpus;string;;;notAvailable;yes;corpus_ref_article;Reference article;;;Reference articles typically contain an extensive verbal description of the corpus and its design.;optional;yes;2, 2024-05-31;differently defined;work on corpus documentation;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_researchPaper;weitere Publikationen;weitere Publikation;Further publications (original version);string;;;notAvailable;yes;corpus_ref_article;Reference article;;;Reference articles typically contain an extensive verbal description of the corpus and its design.;optional;yes;2, 2024-05-31;differently defined;work on corpus documentation;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_URLdownload;Korpusdownload (Original-Version);Link zum Korpusdownload (Original-Version);Link to corpus download (original version);string;;;notAvailable;yes;;;;;;;;;added;work on corpus documentation;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_URLquery;Korpussuche (Original-Version);Link zur Korpussuche (Original-Version);Link to corpus query (original version);string;;;notAvailable;yes;;;;;;;;;added;work on corpus documentation;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_admin_version_orig;Version der Originaldateien;Datenversion, die DAKODA-Version zugrunde liegt: Versionsnummer, PID oder Download-Link mit Datum;Data version on which the DAKODA version is based: Version number, PID or download link with date;string;;;notAvailable;no;corpus_version;Corpus version;;;One possible approach to versioning is to use digits such that the first digit (e.g. 1.0) represents a major corpus update (adding new data, new annotations, etc.) and the second digit represents a minor update (corrections of annotations). If relevant, a  third digit can be added for changes in documentation etc. (but only in cases where data has not been changed).;obligatory;no;2, 2024-05-31;orig;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_annotation_hasBorrowedAnnotation_orig;Enthält das Korpus Annotationen zu aus der Aufgabenstellung übernommenen Strukturen?;Enthält das Korpus in der Originalversion Annotationen zu den aus der Aufgabenstellung übernommenen Strukturen?;Does the corpus in its original version contain annotations for structures taken from the task?;yes, no;;;notAvailable;no;;;;;;;;;added;more precise;sometimes only for some texts of a corpus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_annotation_hasErrorAnnotation_orig;Enthält das Korpus Fehlerannotationen?;Enthält das Korpus in der Originalversion Fehlerannotationen?;Does the corpus in its original version contain error annotations?;yes, no;;;notAvailable;no;;;;;;;;;added;more precise;sometimes only for some texts of a corpus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_annotation_hasTargetHypotheses_orig;Enthält das Korpus Zielhypothesen?;Enthält das Korpus in der Originalversion Zielhypothesen oder eine andere Art von Normierung?;Does the corpus in its original version contain target hypotheses or another type of normalisation?;yes, no;;;notAvailable;no;;;;;;;;;added;more precise;sometimes only for some texts of a corpus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_description;Beschreibung;kurzer Beschreibungstext;Short description of the corpus;string;;;notAvailable;no;corpus_description;Short description of the corpus;;;;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_designType;Studiendesign;Design der Datenerhebung/Studiendesign;Design of data collection/study design;longitudinal, pseudo-longitudinal, cross-sectional;;;notAvailable;no;corpus_longitudinal;Does the corpus contain longitudinal data?;;yes, no;Longitudinal corpora follow the same learners over time and thus provide more than one text per learner.;obligatory;no;2, 2024-05-31;differently defined;more precise;"not ""yes / no"" but ""longitudinal, pseudo-longitudinal, cross-sectional""";"If corpus_design_designType=""longitudinal"" -> corpus_longitudinal=""yes""; If else -> ""no""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_group;Korpusgruppe;Zugehörigkeit des Korpus zu einer Korpusgruppe;Affiliation of the corpus to a corpus group;CDLK, KiezDeutsch-Korpus , DISKO, EURAC-Korpora, Falko, FD-Lex, HaMaTaC/HAMoTiC;;;notAvailable;no;;;;;;;;;added;structure;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_IsComparableDataIncluded;Gibt es Vergleichsdaten?;Hat das Korpus Vergleichsdaten in Bezug darauf, ob das Deutsch als Erst-, Zweit-, Fremd-, Heritagesprache etc. genutzt wird?;Does the corpus include comparison data?;yes, no;;;notAvailable;no;corpus_comparable_data_included;Does the corpus include comparison data?;;yes, no;Comparison data typically refers to productions by native speakers or expert writers, etc.;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_l1Languages;Erstsprache(n);Ausgangssprachen  ;L1 language(s);ISO 639-3;;;notAvailable;yes;corpus_L1_language;L1 language;;[ISO language code 639-3], other;"it; use “other” for under-represented L1s";obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_l1Type;Erstsprachenkonstellation;Erstsprachenkonstellation;L1 constellation;mono, multi;"eine Ausgangssprache: mono; mehrere Ausgangssprachen: multi";"one L1: mono; multiple L1s: multi";notAvailable;no;;;;;;;;;added;more precise;"similar to ""related corpora"" or ""corpus_comparable_data_included""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_targetLanguages;Zielsprache(n) ;Zielsprache(n) des Gesamtkorpus;Target language;ISO 639-3;;;notAvailable;yes;corpus_target_language;Target language;;[ISO language code 639-3], other;"en; use “other” for under-represented Ls";obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_targetLanguageType;Zielsprache(n)konstellation;Zielsprachen des Gesamtkorpus;Target languages of the complete corpus;mono, multi;"nur Deutsch als Zielsprache: mono; neben Deutsch weitere Zielsprachen: multi";"only German as target language: mono; other target languages in addition to German: multi";notAvailable;no;;;;;;;;;added;more precise;"similar to ""related corpora"" or ""corpus_comparable_data_included""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_design_timeOfDataCollection;Erhebungszeitraum ;"Erhebungszeitraum als Jahresangabe; wenn Information nicht auffindbar, Projektlaufzeit angeben";Time period of data collection, if information not available it's the project period;dddd, dddd-dddd;;;notAvailable;no;corpus_time_of_data_collection;Time period of data collection;;;2015, 2011-2012, November 2013, 20-10-2020;obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_proficiency_assignmentMethod;Typ der Kompetenzmessung;Bezugsgröße der Bewertung;Method of proficiency level assignment;"learner-centred, text-centred; text-centred automatic; none";"learner-centred method, text-centred method; text-centred automatic method; none";"learner-centred method, text-centred method; text-centred automatic method; none";notAvailable;yes;corpus_proficiency_assignment_method;Method of proficiency level assignment;"if corpus_proficiency_assignment_available =""yes""";learner-centred method, text-centred method;Learner-centred methods relate to methods by which a proficiency level is assigned to each learner independently of the collected text. Text-centred methods refer to methods by which proficiency scores are assigned to individual texts (cf. Carlsen 2012).;obligatory;yes;2, 2024-05-31;values added;more precise;new value text-centred automatic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_proficiency_IsAssignmentAvailable;Enthält das Korpus Sprachkompetenzangaben?;Enthält das Korpus Sprachkompetenzangaben für Lernende oder Texte?;Does the corpus contain proficiency scores for individual learner/L1 speakers or texts?;yes, no;;;notAvailable;no;corpus_proficiency_assignment_available;Does the corpus contain proficiency scores for individual learners or texts?;;yes, no;;obligatory;no;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_proficiency_learnerAssignmentInstrument;Instrument (sprecherbezogene Kompetenz);Instrument, das für die sprecher:innenbezogene Bewertung benutzt wurde;Name of instrument used to evaluate learners’ proficiency;string;;;notAvailable;yes;corpus_learner_proficiency_assignment_instrument;Name of instrument used to evaluate learners’ proficiency;"if corpus_learner_proficiency_assignment_method=""independent instrument"" OR "" total test score""";;Oxford Quick Placement Test, DIALANG, Vocabulary Level Test, Cambridge English, TOEFL, IELTS, in-house…;obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_proficiency_levelMax;Maximalniveau;"Kompetenzniveau der Lernenden des Korpus; wenn nur näherungsweise bekannt, hier den Maximum-Wert eintragen";"proficiency levels; if only approximately known, enter the maximum value here";A1, A2, B1, B2, C1, C2;;;notAvailable;yes;corpus_proficiency_level;Coarse proficiency levels;;beginner, intermediate, advanced, unknown;Provide an approximate level of proficiency even if proficiency scores are not available for the individual learners/texts. This variable is meant as a general indicator.;obligatory;yes;2, 2024-05-31;"differently defined; different values";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_proficiency_levelMin;Minimalniveau;"Kompetenzniveau der Lernenden des Korpus; wenn nur näherungsweise bekannt, hier den Minimum-Wert eintragen";"proficiency levels; if only approximately known, enter the minimum value here";A1, A2, B1, B2, C1, C2;;;notAvailable;yes;corpus_proficiency_level;Coarse proficiency levels;;beginner, intermediate, advanced, unknown;Provide an approximate level of proficiency even if proficiency scores are not available for the individual learners/texts. This variable is meant as a general indicator.;obligatory;yes;2, 2024-05-31;"differently defined; different values";#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_proficiency_textAssignmentInstrument;Instrument (textbezogene Kompetenz);Instrument, das für die textbezogene Bewertung benutzt wurde ;Name of instrument used to evaluate texts’ proficiency;string;;;notAvailable;yes;corpus_text_proficiency_assignment_instrument;Name of instrument used to evaluate texts’ proficiency;"if corpus_proficiency_assignment_method=""text-centred method""";;Cambridge English, TOEFL,…;obligatory;yes;2, 2024-05-31;same;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_contact_orig;Kontakt des Projekts (Original-Version);Kontakt des Erstellungsprojekts (Original-Version);Contact of the creation project (original version);Email-Adresse;;;notAvailable;no;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_duration_dkd;Laufzeit (DAKODA);Projektlaufzeit (DAKODA-Version);Duration of the project (DAKODA);2022-2025;;;notAvailable;always the same value;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_duration_orig;Projektlaufzeit (Original-Version);Projektlaufzeit (Original-Version);Duration of the project (original version);dddd-dddd, dddd-andauernd;"wenn keine Informationen auffindbar, Erhebungszeitraum; falls kein Enddatum bekannt, 'andauernd'; bei Promotionen Erhebungszeitraum und nicht Zeitraum der Promotion";"if no information can be found, elicitation period; if no end date known, 'ongoing'; for doctorates, survey period and not period of doctorate";notAvailable;no;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_head_dkd;Projektleitung (DAKODA);Leiter/-in des Projekts der DAKODA-Version;Heads of the project (DAKODA);Katrin Wisniewski, Torsten Zesch;;;notAvailable;always the same value;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_head_orig;Projektleitung (Original-Version);Leiter/-in(nen) des Erstellungsprojekts (Original-Version);Head(s) of the creation project (original version);"string (Nachname, Vorname; Nachname, Vorname)";;;notAvailable;yes;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_institution_dkd;Einrichtungen (DAKODA);Einrichtungen des Projekts (DAKODA-Version);Institution of the project (DAKODA version);Universität Leipzig, FernUniversität Hagen;;;notAvailable;always the same value;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
corpus_project_institution_orig;Einrichtung des Projekts (Original-Version);Einrichtung des Projekts (Original-Version);Institution of the project (original version);string (Wenn universitäre Einrichtung dann mit Kommata abgetrennt: UNIVERSITÄT, FAKULTÄT, INSTITUT, FORSCHUNGSGRUPPE);falls Dissertationsprojekt, dann Universität, an der Promotionsverfahren abgehalten wurde;if it's dissertation project, then record university at which doctoral procedure was held;notAvailable;yes;;;;;;;;;added;DAKODA / original version;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
